Latitude (decimal degrees):	35.141
Longitude (decimal degrees):	33.415
Elevation (m):	142
Radiation database:	PVGIS-SARAH3


Slope: 28 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230927:2309,0.0,0.0,0.0,0.0,0.0,23.79,0.9,0.0
20230928:0009,0.0,0.0,0.0,0.0,0.0,23.18,1.03,0.0
20230928:0109,0.0,0.0,0.0,0.0,0.0,22.68,1.17,0.0
20230928:0209,0.0,0.0,0.0,0.0,0.0,22.25,1.24,0.0
20230928:0309,0.0,0.0,0.0,0.0,0.0,21.94,1.31,0.0
20230928:0409,242700.0,18.31,32.81,0.57,5.69,21.71,1.24,0.0
20230928:0509,2188200.0,181.34,111.98,2.87,17.72,23.61,0.97,0.0
20230928:0609,4157300.0,389.72,154.09,5.24,29.18,27.78,1.17,0.0
20230928:0709,5574500.0,565.95,184.53,7.22,39.51,30.1,1.03,0.0
20230928:0809,6418100.0,695.4,202.94,8.64,47.75,31.84,0.62,0.0
20230928:0909,6746800.0,747.66,220.14,9.32,52.4,33.13,0.41,0.0
20230928:1009,6681700.0,758.86,211.57,9.33,52.11,33.91,0.14,0.0
20230928:1109,6078700.0,633.59,228.91,8.35,46.96,34.15,0.34,0.0
20230928:1209,4658500.0,385.82,253.85,6.37,38.43,34.01,0.41,0.0
20230928:1309,3851800.0,378.94,146.54,5.06,27.94,33.47,0.21,0.0
20230928:1409,1894400.0,164.1,106.34,2.65,16.39,32.33,0.21,0.0
20230928:1509,143600.0,13.24,24.48,0.42,4.32,31.01,0.69,0.0
20230928:1609,0.0,0.0,0.0,0.0,0.0,29.67,0.83,0.0
20230928:1709,0.0,0.0,0.0,0.0,0.0,28.59,0.76,0.0
20230928:1809,0.0,0.0,0.0,0.0,0.0,27.29,0.83,0.0
20230928:1909,0.0,0.0,0.0,0.0,0.0,26.56,1.31,0.0
20230928:2009,0.0,0.0,0.0,0.0,0.0,25.8,1.59,0.0
20230928:2109,0.0,0.0,0.0,0.0,0.0,25.2,1.93,0.0
20230928:2209,0.0,0.0,0.0,0.0,0.0,24.8,2.07,0.0
20230928:2309,0.0,0.0,0.0,0.0,0.0,24.32,2.07,0.0
20230929:0009,0.0,0.0,0.0,0.0,0.0,23.89,2.14,0.0
20230929:0109,0.0,0.0,0.0,0.0,0.0,23.52,2.21,0.0
20230929:0209,0.0,0.0,0.0,0.0,0.0,23.22,2.28,0.0
20230929:0309,0.0,0.0,0.0,0.0,0.0,22.9,2.28,0.0
20230929:0409,256700.0,23.27,31.74,0.6,5.54,22.83,2.21,0.0
20230929:0509,2312000.0,202.62,105.27,2.95,17.55,23.82,2.28,0.0
20230929:0609,4377000.0,416.27,143.59,5.34,28.98,26.08,2.69,0.0
20230929:0709,5847200.0,582.58,177.83,7.27,39.26,28.48,3.1,0.0
20230929:0809,6836400.0,714.63,196.23,8.71,47.44,30.22,3.1,0.0
20230929:0909,7288100.0,783.04,204.88,9.45,52.03,31.55,3.03,0.0
20230929:1009,7129400.0,750.8,218.69,9.29,51.71,32.55,3.03,0.0
20230929:1109,6470200.0,651.37,221.34,8.39,46.58,33.0,2.97,0.0
20230929:1209,4499400.0,317.79,276.39,6.02,38.08,32.83,2.9,0.0
20230929:1309,3749000.0,320.96,172.45,4.8,27.61,32.06,2.97,0.0
20230929:1409,1873800.0,153.09,109.23,2.56,16.08,30.99,3.1,0.0
20230929:1509,131000.0,10.82,23.76,0.39,4.02,29.46,3.1,0.0
20230929:1609,0.0,0.0,0.0,0.0,0.0,27.73,2.76,0.0
20230929:1709,0.0,0.0,0.0,0.0,0.0,26.48,2.97,0.0
20230929:1809,0.0,0.0,0.0,0.0,0.0,25.57,2.9,0.0
20230929:1909,0.0,0.0,0.0,0.0,0.0,25.2,2.62,0.0
20230929:2009,0.0,0.0,0.0,0.0,0.0,24.74,2.69,0.0
20230929:2109,0.0,0.0,0.0,0.0,0.0,24.38,2.62,0.0
20230929:2209,0.0,0.0,0.0,0.0,0.0,24.04,2.55,0.0
20230929:2309,0.0,0.0,0.0,0.0,0.0,23.7,2.48,0.0
20230930:0009,0.0,0.0,0.0,0.0,0.0,23.42,2.28,0.0
20230930:0109,0.0,0.0,0.0,0.0,0.0,23.23,2.21,0.0
20230930:0209,0.0,0.0,0.0,0.0,0.0,23.08,2.14,0.0
20230930:0309,0.0,0.0,0.0,0.0,0.0,22.96,2.21,0.0
20230930:0409,260900.0,25.56,30.86,0.6,5.38,22.84,2.28,0.0
20230930:0509,2338900.0,210.0,100.71,2.94,17.38,23.63,2.69,0.0
20230930:0609,4362700.0,408.89,143.71,5.24,28.78,25.0,3.24,0.0
20230930:0709,5854300.0,572.99,179.05,7.16,39.01,26.97,3.52,0.0
20230930:0809,6204300.0,526.45,281.18,7.9,47.12,28.14,3.52,0.0
20230930:0909,6269700.0,486.73,334.34,8.17,51.66,29.02,3.66,0.0
20230930:1009,2230100.0,7.49,286.8,3.63,51.31,29.39,3.93,0.0
20230930:1109,5397300.0,371.56,328.42,7.09,46.2,29.7,4.07,0.0
20230930:1209,4344300.0,276.72,282.42,5.72,37.73,29.53,4.07,0.0
20230930:1309,3580500.0,277.44,183.91,4.53,27.29,28.91,4.0,0.0
20230930:1409,1762200.0,132.64,111.12,2.4,15.78,28.18,3.79,0.0
20230930:1509,84600.0,4.89,19.52,0.28,3.73,27.19,3.31,0.0
20230930:1609,0.0,0.0,0.0,0.0,0.0,26.02,2.69,0.0
20230930:1709,0.0,0.0,0.0,0.0,0.0,25.15,2.48,0.0
20230930:1809,0.0,0.0,0.0,0.0,0.0,24.47,2.48,0.0
20230930:1909,0.0,0.0,0.0,0.0,0.0,24.44,2.62,0.0
20230930:2009,0.0,0.0,0.0,0.0,0.0,23.95,2.41,0.0
20230930:2109,0.0,0.0,0.0,0.0,0.0,23.56,2.41,0.0
20230930:2209,0.0,0.0,0.0,0.0,0.0,23.26,2.34,0.0
20230930:2309,0.0,0.0,0.0,0.0,0.0,23.01,2.21,0.0
20231001:0009,0.0,0.0,0.0,0.0,0.0,22.77,2.07,0.0
20231001:0109,0.0,0.0,0.0,0.0,0.0,22.45,2.07,0.0
20231001:0209,0.0,0.0,0.0,0.0,0.0,22.33,2.07,0.0
20231001:0309,0.0,0.0,0.0,0.0,0.0,22.13,2.14,0.0
20231001:0409,287900.0,34.21,28.85,0.63,5.22,22.02,2.14,0.0
20231001:0509,1907400.0,129.21,124.64,2.53,17.2,22.71,2.21,0.0
20231001:0609,4260900.0,386.06,153.16,5.12,28.57,24.36,2.9,0.0
20231001:0709,5833600.0,560.77,184.72,7.08,38.76,26.36,3.72,0.0
20231001:0809,5336200.0,342.89,341.38,6.99,46.81,27.2,3.86,0.0
20231001:0909,1542400.0,0.0,207.98,2.59,51.29,28.05,4.0,0.0
20231001:1009,412000.0,0.0,67.76,0.84,50.92,27.98,3.86,0.0
20231001:1109,4816100.0,266.42,351.49,6.47,45.82,26.94,3.24,0.0
20231001:1209,3127100.0,104.96,293.16,4.46,37.37,25.41,3.31,0.0
20231001:1309,1116200.0,3.85,149.03,1.88,26.96,23.59,3.24,0.0
20231001:1409,332900.0,0.0,56.47,0.7,15.48,23.77,2.28,0.0
20231001:1509,96500.0,10.39,18.34,0.3,3.44,23.8,2.55,0.0
20231001:1609,0.0,0.0,0.0,0.0,0.0,23.02,2.62,0.0
20231001:1709,0.0,0.0,0.0,0.0,0.0,22.23,2.69,0.0
20231001:1809,0.0,0.0,0.0,0.0,0.0,21.85,2.69,0.0
20231001:1909,0.0,0.0,0.0,0.0,0.0,22.4,2.76,0.0
20231001:2009,0.0,0.0,0.0,0.0,0.0,22.07,2.76,0.0
20231001:2109,0.0,0.0,0.0,0.0,0.0,21.68,2.55,0.0
20231001:2209,0.0,0.0,0.0,0.0,0.0,21.46,2.34,0.0
20231001:2309,0.0,0.0,0.0,0.0,0.0,21.2,2.14,0.0
20231002:0009,0.0,0.0,0.0,0.0,0.0,21.07,2.0,0.0
20231002:0109,0.0,0.0,0.0,0.0,0.0,20.89,1.86,0.0
20231002:0209,0.0,0.0,0.0,0.0,0.0,20.68,1.66,0.0
20231002:0309,0.0,0.0,0.0,0.0,0.0,20.46,1.59,0.0
20231002:0409,247000.0,25.76,28.38,0.55,5.06,20.27,1.45,0.0
20231002:0509,2344100.0,210.57,99.46,2.88,17.02,21.28,1.31,0.0
20231002:0609,4371700.0,419.54,138.42,5.22,28.36,23.32,1.45,0.0
20231002:0709,5817400.0,594.13,166.06,7.15,38.51,25.4,1.45,0.0
20231002:0809,6615700.0,696.39,197.05,8.45,46.5,26.28,0.9,0.0
20231002:0909,6012300.0,479.45,331.65,8.03,50.92,26.86,0.69,0.0
20231002:1009,3747600.0,114.54,379.23,5.61,50.52,27.73,0.62,0.0
20231002:1109,5637000.0,468.36,290.75,7.44,45.44,27.66,0.55,0.0
20231002:1209,276100.0,0.0,49.88,0.62,37.03,27.94,0.41,0.0
